time,tita_i_volts,tita_0_kmh,rpm,error_kmh,tita_0c_volts,P_volt,I_volt,D_volt,perturb_rpm
0.1,2.5,70.0,3871.3,10.0,0.071,0.02,0.001,0.05,0.0
0.2,2.5,56.3098,3132.8001,23.6902,0.1192,0.04738,0.003369,0.068451,0.0
0.3,2.5,45.568,2545.0557,34.432,0.129385,0.068864,0.006812,0.053709,0.0
0.4,2.5,37.019,2077.9897,42.981,0.139817,0.085962,0.01111,0.042745,0.0
0.5,2.5,30.2253,1707.2735,49.7747,0.149606,0.099549,0.016088,0.033968,0.0
0.6,2.5,24.8331,1413.4886,55.1669,0.1589,0.110334,0.021604,0.026961,0.0
0.7,2.5,20.5598,1181.1294,59.4402,0.167795,0.11888,0.027548,0.021366,0.0
0.8,2.5,17.1801,997.8143,62.8199,0.176369,0.12564,0.03383,0.016899,0.0
0.9,2.5,14.5137,853.6566,65.4863,0.184684,0.130973,0.040379,0.013332,0.0
1.0,2.5,12.4168,740.7617,67.5832,0.192788,0.135166,0.047137,0.010484,0.0
1.1,2.5,10.7747,652.8257,69.2253,0.200721,0.138451,0.05406,0.008211,0.0
1.2,2.5,9.4956,584.8149,70.5044,0.208514,0.141009,0.06111,0.006395,0.0
1.3,2.5,8.5064,532.7099,71.4936,0.216193,0.142987,0.06826,0.004946,0.0
1.4,2.5,7.7485,493.3011,72.2515,0.223777,0.144503,0.075485,0.003789,0.0
1.5,2.5,7.1753,464.0257,72.8247,0.231283,0.145649,0.082767,0.002866,0.0
1.6,2.5,6.7495,442.8374,73.2505,0.238723,0.146501,0.090092,0.002129,0.0
1.7,2.5,6.4413,428.1019,73.5587,0.246107,0.147117,0.097448,0.001541,0.0
1.8,2.5,6.2269,418.5146,73.7731,0.253443,0.147546,0.104826,0.001072,0.0
1.9,2.5,6.0875,413.0334,73.9125,0.260739,0.147825,0.112217,0.000697,0.0
2.0,2.5,6.0078,410.8265,73.9922,0.267999,0.147984,0.119616,0.000399,0.0
2.1,2.5,5.9757,411.2295,74.0243,0.275228,0.148049,0.127019,0.000161,0.0
2.2,2.5,5.9815,413.712,74.0185,0.282428,0.148037,0.13442,-2.9e-05,0.0
2.3,2.5,6.0176,417.8505,73.9824,0.289603,0.147965,0.141819,-0.000181,0.0
2.4,2.5,6.0778,423.3066,73.9222,0.296754,0.147844,0.149211,-0.000301,0.0
2.5,2.5,6.1572,429.8105,73.8428,0.303884,0.147686,0.156595,-0.000397,0.0
2.6,2.5,6.2518,437.1464,73.7482,0.310993,0.147496,0.16397,-0.000473,0.0
2.7,2.5,6.3585,445.1422,73.6415,0.318084,0.147283,0.171334,-0.000534,0.0
2.8,2.5,6.4748,453.6604,73.5252,0.325156,0.14705,0.178687,-0.000582,0.0
2.9,2.5,6.5987,462.5913,73.4013,0.33221,0.146803,0.186027,-0.00062,0.0
3.0,2.5,6.7286,471.8472,73.2714,0.339247,0.146543,0.193354,-0.00065,0.0
3.1,2.5,6.8632,481.3581,73.1368,0.346268,0.146274,0.200668,-0.000673,0.0
3.2,2.5,7.0016,491.0683,72.9984,0.353273,0.145997,0.207967,-0.000692,0.0
3.3,2.5,7.1428,500.933,72.8572,0.360261,0.145714,0.215253,-0.000706,0.0
3.4,2.5,7.2863,510.9167,72.7137,0.367234,0.145427,0.222524,-0.000717,0.0
3.5,2.5,7.4315,520.991,72.5685,0.374192,0.145137,0.229781,-0.000726,0.0
3.6,2.5,7.5781,531.1333,72.4219,0.381135,0.144844,0.237024,-0.000733,0.0
3.7,2.5,7.7256,541.3253,72.2744,0.388062,0.144549,0.244251,-0.000738,0.0
3.8,2.5,7.8738,551.5526,72.1262,0.394975,0.144252,0.251464,-0.000741,0.0
3.9,2.5,8.0226,561.8038,71.9774,0.401872,0.143955,0.258661,-0.000744,0.0
4.0,2.5,8.1717,572.0696,71.8283,0.408755,0.143657,0.265844,-0.000746,0.0
4.1,2.5,8.321,582.3427,71.679,0.415623,0.143358,0.273012,-0.000747,0.0
4.2,2.5,8.4704,592.6173,71.5296,0.422477,0.143059,0.280165,-0.000747,0.0
4.3,2.5,8.6199,602.8886,71.3801,0.429316,0.14276,0.287303,-0.000747,0.0
4.4,2.5,8.7693,613.1531,71.2307,0.436141,0.142461,0.294426,-0.000747,0.0
4.5,2.5,8.9186,623.4076,71.0814,0.442951,0.142163,0.301534,-0.000747,0.0
4.6,2.5,9.0677,633.6499,70.9323,0.449746,0.141865,0.308627,-0.000746,0.0
4.7,2.5,9.2167,643.8782,70.7833,0.456527,0.141567,0.315706,-0.000745,0.0
4.8,2.5,9.3655,654.0909,70.6345,0.463294,0.141269,0.322769,-0.000744,0.0
4.9,2.5,9.514,664.2868,70.486,0.470047,0.140972,0.329818,-0.000743,0.0
5.0,2.5,9.6624,674.465,70.3376,0.476785,0.140675,0.336852,-0.000742,0.0
5.1,2.5,9.8104,684.6249,70.1896,0.48351,0.140379,0.343871,-0.00074,0.0
5.2,2.5,9.9582,694.7658,70.0418,0.490219,0.140084,0.350875,-0.000739,0.0
5.3,2.5,10.1057,704.8872,69.8943,0.496915,0.139789,0.357864,-0.000738,0.0
5.4,2.5,10.2529,714.9888,69.7471,0.503597,0.139494,0.364839,-0.000736,0.0
5.5,2.5,10.3998,725.0704,69.6002,0.510265,0.1392,0.371799,-0.000735,0.0
5.6,2.5,10.5465,735.1318,69.4535,0.516918,0.138907,0.378744,-0.000733,0.0
5.7,2.5,10.6928,745.1727,69.3072,0.523558,0.138614,0.385675,-0.000732,0.0
5.8,2.5,10.8389,755.1931,69.1611,0.530183,0.138322,0.392591,-0.00073,0.0
5.9,2.5,10.9846,765.1929,69.0154,0.536795,0.138031,0.399493,-0.000729,0.0
6.0,2.5,11.1301,775.1719,68.8699,0.543392,0.13774,0.40638,-0.000727,0.0
6.1,2.5,11.2752,784.5803,68.7248,0.549976,0.13745,0.413252,-0.000726,-2.75
6.2,2.5,11.4121,794.095,68.5879,0.556602,0.137176,0.420111,-0.000684,-2.75
6.3,2.5,11.5505,806.6749,68.4495,0.563163,0.136899,0.426956,-0.000692,12.25
6.4,2.5,11.7335,819.8601,68.2665,0.569401,0.136533,0.433782,-0.000915,18.5
6.5,2.5,11.9252,833.5723,68.0748,0.575781,0.13615,0.44059,-0.000959,24.75
6.6,2.5,12.1247,846.6971,67.8753,0.582131,0.135751,0.447377,-0.000997,26.0
6.7,2.5,12.3156,859.6257,67.6844,0.58856,0.135369,0.454146,-0.000955,28.5
6.8,2.5,12.5036,873.635,67.4964,0.594948,0.134993,0.460896,-0.00094,37.25
6.9,2.5,12.7074,888.4653,67.2926,0.601191,0.134585,0.467625,-0.001019,46.0
7.0,2.5,12.9231,903.6946,67.0769,0.607408,0.134154,0.474333,-0.001079,53.5
7.1,2.5,13.1446,918.242,66.8554,0.613621,0.133711,0.481018,-0.001108,56.0
7.2,2.5,13.3562,932.0172,66.6438,0.619912,0.133288,0.487682,-0.001058,57.25
7.3,2.5,13.5566,944.9273,66.4434,0.626212,0.132887,0.494327,-0.001002,57.25
7.4,2.5,13.7444,957.1492,66.2556,0.632525,0.132511,0.500952,-0.000939,57.25
7.5,2.5,13.9222,969.0674,66.0778,0.638827,0.132156,0.50756,-0.000889,58.5
7.6,2.5,14.0955,980.4818,65.9045,0.645093,0.131809,0.514151,-0.000867,58.5
7.7,2.5,14.2616,991.4968,65.7384,0.651371,0.131477,0.520724,-0.00083,58.5
